ITA_code,airline
AA,American Airlines
PT,Capital Cargo International Airlines
CP,Canadian Airlines
AS,Alaska Airlines
DL,Delta Airlines
HA,Hawaiian Airlines
F9,Frontier Airlines Inc.
9E,Endeavor Air
B6,JetBlue Airways
C5,CommutAir
AX,Trans States Airlines
G7,Gandalf Airlines
ZW,Air Wisconsin
EV,Atlantic Southeast Airlines
G4,Allegiant Air
NK,Spirit Air Lines
OH,Comair
WN,Southwest Airlines
YV,Mesa Airlines
YX,Midwest Airlines
MQ,American Eagle Airlines
OO,Skywest Airlines Inc.
QX,Horizon Air
9K,Cape Air
UA,United Air Lines Inc.
VX,Virgin America
EM,Aero Benin
KS,Peninsula Airways
