,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2018-03-09,WN,WN,WN,1551,WN,N7820L,1551,12191,HOU,"Houston, TX",13796,OAK,"Oakland, CA",825,827.0,2.0,8.0,835.0,1044.0,5.0,1035,1049.0,14.0,0.0,,0.0,N,250.0,262.0,249.0,1.0,1642.0,,,,,,,,,
1,2018-03-09,F9,F9,F9,988,F9,N309FR,988,13303,MIA,"Miami, FL",14307,PVD,"Providence, RI",950,940.0,-10.0,16.0,956.0,1229.0,6.0,1256,1235.0,-21.0,0.0,,0.0,N,186.0,175.0,153.0,1.0,1209.0,,,,,,,,,
2,2018-03-09,DL,DL_CODESHARE,DL,4159,OO,N453SW,4159,11433,DTW,"Detroit, MI",14108,PIA,"Peoria, IL",1000,1010.0,10.0,21.0,1031.0,1027.0,3.0,1030,1030.0,0.0,0.0,,0.0,N,90.0,80.0,56.0,1.0,346.0,,,,,,,,,
3,2018-03-10,WN,WN,WN,6016,WN,N778SW,6016,10693,BNA,"Nashville, TN",14679,SAN,"San Diego, CA",1840,1842.0,2.0,8.0,1850.0,2142.0,4.0,2105,2146.0,41.0,0.0,,0.0,N,265.0,304.0,292.0,1.0,1751.0,0.0,0.0,41.0,0.0,0.0,,,,
4,2018-03-10,DL,DL,DL,1896,DL,N3733Z,1896,14869,SLC,"Salt Lake City, UT",14492,RDU,"Raleigh/Durham, NC",1005,1003.0,-2.0,26.0,1029.0,1547.0,4.0,1608,1551.0,-17.0,0.0,,0.0,N,243.0,228.0,198.0,1.0,1823.0,,,,,,,,,
5,2018-03-11,UA,UA_CODESHARE,UA,4052,EV,N14158,4052,13930,ORD,"Chicago, IL",14193,PNS,"Pensacola, FL",1145,1134.0,-11.0,22.0,1156.0,1400.0,13.0,1409,1413.0,4.0,0.0,,0.0,N,144.0,159.0,124.0,1.0,794.0,,,,,,,,,
6,2018-03-11,UA,UA_CODESHARE,UA,5624,OO,N917SW,5624,11423,DSM,"Des Moines, IA",11292,DEN,"Denver, CO",925,925.0,0.0,25.0,950.0,1019.0,11.0,1040,1030.0,-10.0,0.0,,0.0,N,135.0,125.0,89.0,1.0,589.0,,,,,,,,,
7,2018-03-12,DL,DL_CODESHARE,DL,7363,OO,N496CA,7363,13487,MSP,"Minneapolis, MN",10141,ABR,"Aberdeen, SD",1125,1123.0,-2.0,19.0,1142.0,1228.0,4.0,1243,1232.0,-11.0,0.0,,0.0,N,78.0,69.0,46.0,1.0,257.0,,,,,,,,,
8,2018-03-12,B6,B6,B6,814,B6,N346JB,814,11697,FLL,"Fort Lauderdale, FL",12197,HPN,"White Plains, NY",1928,,,,,,,2224,,,1.0,B,0.0,N,176.0,,,1.0,1097.0,,,,,,,,,
9,2018-03-12,WN,WN,WN,382,WN,N774SW,382,13232,MDW,"Chicago, IL",10693,BNA,"Nashville, TN",540,533.0,-7.0,6.0,539.0,636.0,5.0,700,641.0,-19.0,0.0,,0.0,N,80.0,68.0,57.0,1.0,395.0,,,,,,,,,
